"names","avgs","df","sd","idf"
"care",61.3618233618234,351,22.7768585188858,6.92608053947845
"painstak",82.125,16,17.8636690353355,11.381407759783
"major",62.6629834254144,181,21.8388581992806,7.8815618726998
"minor",65.7222222222222,90,19.6493532603336,8.88955466345333
"mold",62.6666666666667,24,23.205887716445,10.7964452590618
"distinct",63.006711409396,149,21.9215060192162,8.16223923932085
"individu",65.8736842105263,95,21.1088749885087,8.81155215145206
"handbook",63.25,4,27.2472220752343,13.381407759783
"cinemat",65.4285714285714,301,24.8841449700922,7.1477880830233
"lucid",79.4545454545455,11,19.8910753339435,11.9219761411457
"event",63.3012048192771,166,24.1651435852984,8.00636832843608
"describ",57.4868421052632,76,28.0788938331696,9.13348024633942
"clear",61.3766233766234,308,21.2236929847737,7.11462121908811
"motiv",59.3333333333333,90,22.9708693756892,8.88955466345333
"set",61.6528571428571,700,21.7535661235971,5.93019664795068
"right",67.1828254847645,722,21.3886600282507,5.88555273289584
"next",58.5209125475285,263,22.6938830317705,7.3424887704907
"pasta",75,2,36.3553390593274,14.381407759783
"consider",62.6187050359712,139,20.0834914935994,8.2624666870595
"generat",63.6965174129353,201,20.2367470693708,7.73035606860408
"saga",67.3478260869565,115,23.4245493131816,8.53591770883863
"also",69.436553030303,1056,20.9764731065167,5.33701364042455
"action",62.5403439153439,1512,21.2812380332723,4.81916533556193
